geo_id,year,deped_id,water,electricity,internet,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
NIG-003072,2014,EHYVI,1,,,,,1,,
NIG-003073,2014,EEWYF,0,,,,,1,,
NIG-003074,2014,EKLAU,1,,,,,1,,
NIG-003075,2014,EKPEC,1,,,,,1,,
NIG-003076,2014,EUWAC,1,,,,,1,,
NIG-003077,2014,ENJCX,1,,,,,1,,
NIG-003078,2014,EKKKP,1,,,,,1,,
NIG-003079,2014,EWPWC,1,,,,,1,,
NIG-003080,2014,EEYRG,0,,,,,1,,
NIG-003081,2014,THQLS,1,,,,,1,,
NIG-003082,2014,KHGXV,1,,,,,1,,
NIG-003083,2014,TWGDQ,1,,,,,1,,
NIG-003084,2014,EMRWJ,1,,,,,1,,
NIG-003085,2014,EDETA,0,,,,,1,,
NIG-003086,2014,EBNZL,1,,,,,1,,
NIG-003087,2014,EOYJU,1,,,,,1,,
NIG-003088,2014,EJJWA,0,,,,,1,,
NIG-003089,2014,EOXRP,1,,,,,1,,
NIG-003090,2014,EFCXW,1,,,,,1,,
NIG-003091,2014,EBPGE,1,,,,,1,,
NIG-003092,2014,EBZLT,1,,,,,1,,
NIG-003093,2014,ECCJH,1,,,,,1,,
NIG-003094,2014,EPHXI,0,,,,,1,,
NIG-003095,2014,ENGYU,1,,,,,1,,
NIG-003096,2014,ELCCN,1,,,,,1,,
NIG-003097,2014,ETLCA,0,,,,,0,,
NIG-003098,2014,ELEOK,1,,,,,1,,
NIG-003099,2014,ENMBU,0,,,,,1,,
NIG-003100,2014,ENUHM,1,,,,,1,,
NIG-003101,2014,EVSEC,1,,,,,1,,
NIG-003102,2014,EUQIL,0,,,,,0,,
NIG-003103,2014,EYWYP,0,,,,,0,,
NIG-003104,2014,EXCHI,1,,,,,1,,
NIG-003105,2014,EZMDQ,1,,,,,1,,
NIG-003106,2014,ENWMQ,0,,,,,0,,
NIG-003107,2014,EFPMG,1,,,,,1,,
NIG-003108,2014,EXAXK,1,,,,,0,,
NIG-003109,2014,EWQOW,1,,,,,1,,
NIG-003110,2014,EXVAE,0,,,,,0,,
NIG-003111,2014,EHFMF,1,,,,,1,,
NIG-003112,2014,EIBCN,0,,,,,0,,
NIG-003113,2014,EMUXH,1,,,,,1,,
NIG-003114,2014,EHVIG,0,,,,,0,,
NIG-003115,2014,ELATV,0,,,,,0,,
NIG-003116,2014,EESZZ,1,,,,,1,,
NIG-003117,2014,ENLID,0,,,,,0,,
NIG-003118,2014,ECMQK,0,,,,,0,,
NIG-003119,2014,EIJND,0,,,,,0,,
NIG-003120,2014,ECAGN,0,,,,,1,,
NIG-003121,2014,YLZCR,1,,,,,1,,
NIG-003122,2014,EYJWF,0,,,,,1,,
NIG-003123,2014,EZTAT,1,,,,,1,,
NIG-003124,2014,EQMJV,0,,,,,0,,
NIG-003125,2014,EQKVF,1,,,,,1,,
NIG-003126,2014,EJZYW,1,,,,,1,,
NIG-003127,2014,ERDOG,0,,,,,0,,
NIG-003128,2014,EYEBL,1,,,,,1,,
NIG-003129,2014,EJOHN,0,,,,,0,,
NIG-003130,2014,MLSYW,0,,,,,0,,
NIG-003131,2014,EOHKS,0,,,,,0,,
NIG-003132,2014,EKUSP,0,,,,,0,,
NIG-003133,2014,EFHWG,0,,,,,0,,
NIG-003134,2014,EKGMF,0,,,,,0,,
NIG-003135,2014,EDHQR,0,,,,,1,,
NIG-003136,2014,EQFRP,0,,,,,1,,
NIG-003137,2014,EFMQK,1,,,,,0,,
NIG-003138,2014,EVHRH,0,,,,,0,,
NIG-003139,2014,ESIWG,0,,,,,1,,
NIG-003140,2014,EAPTY,1,,,,,1,,
NIG-003141,2014,ECDPZ,1,,,,,1,,
NIG-003142,2014,EXRUR,0,,,,,0,,
NIG-003143,2014,ECJWM,1,,,,,1,,
NIG-003144,2014,ERRCL,1,,,,,1,,
NIG-003145,2014,EHDXS,1,,,,,1,,
NIG-003146,2014,EUFSE,1,,,,,1,,
NIG-003147,2014,ETYOV,1,,,,,1,,
NIG-003148,2014,ETQWM,1,,,,,1,,
NIG-003149,2014,EMALR,1,,,,,1,,
NIG-003150,2014,ECROV,1,,,,,1,,
NIG-003151,2014,EWTLK,1,,,,,1,,
NIG-003152,2014,EJIYG,1,,,,,1,,
NIG-003153,2014,EIQBS,1,,,,,1,,
NIG-003154,2014,ETDEQ,0,,,,,1,,
NIG-003155,2014,EKDNF,1,,,,,1,,
NIG-003156,2014,EMFWJ,1,,,,,1,,
NIG-003157,2014,ERVUD,0,,,,,1,,
NIG-003158,2014,EQYKM,1,,,,,1,,
NIG-003159,2014,EROOF,1,,,,,1,,
NIG-003160,2014,ESYBF,1,,,,,1,,
NIG-003161,2014,ECDIU,0,,,,,0,,
NIG-003162,2014,EOWBV,0,,,,,0,,
NIG-003163,2014,PDTKP,0,,,,,1,,
NIG-003164,2014,QRJHH,0,,,,,0,,
NIG-003165,2014,EASVC,1,,,,,1,,
NIG-003166,2014,EXKUR,1,,,,,1,,
NIG-003167,2014,VWBTX,1,,,,,0,,
NIG-003168,2014,EZJYX,0,,,,,0,,
NIG-003169,2014,EAVLL,0,,,,,0,,
NIG-003170,2014,ELKXO,1,,,,,0,,
NIG-003171,2014,EZGYT,0,,,,,0,,
NIG-003172,2014,EDSYB,0,,,,,0,,
NIG-003173,2014,EGCEW,0,,,,,0,,
NIG-003174,2014,ELAOW,0,,,,,0,,
NIG-003175,2014,EWZGV,1,,,,,0,,
NIG-003176,2014,ENBGT,1,,,,,0,,
NIG-003177,2014,ELFUH,0,,,,,0,,
NIG-003178,2014,EGXHB,0,,,,,0,,
NIG-003179,2014,EKBNZ,0,,,,,0,,
NIG-003180,2014,EDDXW,0,,,,,0,,
NIG-003181,2014,EHJXH,0,,,,,1,,
NIG-003182,2014,ECJHB,0,,,,,0,,
NIG-003183,2014,BAIYF,0,,,,,0,,
NIG-003184,2014,SVIEY,0,,,,,0,,
NIG-003185,2014,EHJNG,0,,,,,0,,
NIG-003186,2014,ELYBU,0,,,,,0,,
NIG-003187,2014,EQSEM,0,,,,,0,,
NIG-003188,2014,EYQSD,0,,,,,0,,
NIG-003189,2014,ERJOL,1,,,,,1,,
NIG-003190,2014,EVWAW,1,,,,,1,,
NIG-003191,2014,EOKMO,1,,,,,1,,
NIG-003192,2014,EWNMQ,0,,,,,1,,
NIG-003193,2014,EQDYG,1,,,,,1,,
NIG-003194,2014,ELSZF,0,,,,,1,,
NIG-003195,2014,EYAGC,0,,,,,1,,
NIG-003196,2014,EXBGS,0,,,,,0,,
NIG-003197,2014,EPMYR,0,,,,,0,,
NIG-003198,2014,EIXGA,0,,,,,0,,
NIG-003199,2014,EOGBK,0,,,,,1,,
NIG-003200,2014,EJQLA,0,,,,,1,,
NIG-003201,2014,EDEMK,0,,,,,0,,
NIG-003202,2014,EMCWQ,1,,,,,1,,
NIG-003203,2014,ICLUL,0,,,,,1,,
NIG-003204,2014,EBFYQ,0,,,,,0,,
NIG-003205,2014,EBNEL,0,,,,,1,,
NIG-003206,2014,EGGXD,1,,,,,1,,
NIG-003207,2014,EDXKC,1,,,,,1,,
NIG-003208,2014,ECDWR,1,,,,,1,,
NIG-003209,2014,EWVRN,0,,,,,1,,
NIG-003210,2014,EDNVY,1,,,,,1,,
NIG-003211,2014,EZKFC,1,,,,,1,,
NIG-003212,2014,ECBWF,1,,,,,1,,
NIG-003213,2014,EORCV,0,,,,,1,,
NIG-003214,2014,EKDGG,0,,,,,1,,
NIG-003215,2014,ENAPN,0,,,,,1,,
NIG-003216,2014,EBALQ,1,,,,,1,,
NIG-003217,2014,ESABN,0,,,,,1,,
NIG-003218,2014,EGHSO,0,,,,,1,,
NIG-003219,2014,EEYPM,0,,,,,1,,
NIG-003220,2014,EMBAC,0,,,,,1,,
NIG-003221,2014,EFUKB,0,,,,,1,,
NIG-003222,2014,EUSLF,0,,,,,1,,
NIG-003223,2014,EYWPS,1,,,,,1,,
NIG-003224,2014,EKSPF,0,,,,,0,,
NIG-003225,2014,EKUNT,1,,,,,1,,
NIG-003226,2014,E3078,1,,,,,1,,
